Evento,RGS,Perfil solicitado,EVC,Habilidades Técnicas,Pruebas,Medellin,Fecha Solicitud,Tipo Solicitud,Estado,Observaciones
IN1755,,Desarrollo Backend Iseries- SemiSenior Iseries,, CL;RPG/ILE;DB2;Pruebas Unitarias,,,11/3/22,NUEVA,NO_APLICADO,1 Candidato desiste por contraoferta
IN1849,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;XPATH;POSTGRESQL;AWS DynamoDB; SERENITY;Gherkin / Cucumber;DevOps;AWS RDS;Selenium,,,11/4/22,NUEVA,NO_APLICADO,
IN1857,,AUTOMATIZACIÓN DE PRUEBAS JUNIOR,, Java SE;SQL;SQL SERVER;SERENITY;Patrón de diseño ScreenPlay;DevOps;Git,,,11/8/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Sebastian Quiroz
IN1812,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;Elixir;POSTGRESQL;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes,,,11/10/22,NUEVA,NO_APLICADO,
IN1837,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;AWS DynamoDB;POSTGRESQL;Spring Boot;Spring Web;Artifactory;Pruebas Unitarias;Pruebas de Performance;DOCKER;Kubernetes;RabbitMQ;Git  junit;mockito;Karate;Gradle;jmeter;Programación Reactiva;DevOps;CleanArchitecture;CleanCode;Sonar;SOLID;Swagger;CloudAws;Servicios Rest,,,11/10/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1863,,DESARROLLOS BACK-END SENIOR,,Java SE;AWS DynamoDB;REDIS;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;Pruebas de Performance;Kubernetes;DOCKER;Git;RabbitMQ Framework Spring;Reactor y Webflux Implementación de soluciones en nube AWS ,,,11/10/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1867,,DESARROLLOS FULL-STACK SENIOR,,Java SE;POSTGRESQL;Angular;AMAZON EC2;DOCKER,,,11/10/22,REEMPLAZO,APLICADO_SELECCIONADO,R  ERWIN YOHAN CORZO CHOURIO 
IN1872,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;POSTGRESQL; SERENITY;Gherkin / Cucumber;DevOps;Selenium;Análisis Estático (SonarQube),,,11/15/22,REEMPLAZO,APLICADO_PRESELECCIONADO,R  LUZ ANGELA CRUZ PARDO
IN1847,,DESARROLLOS BACK-END SENIOR,,Java SE;AWS DynamoDB;POSTGRESQL;Spring Boot;Spring Cloud;Artifactory;Pruebas de Performance;BDD (Gherkin/Serenity);DOCKER;Kubernetes;RabbitMQ;GraphQL,,,11/15/22,NUEVA,APLICADO_SELECCIONADO,
IN1871,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;SQL;ORACLE;AWS DynamoDB; SERENITY;Patrón de diseño ScreenPlay;Gherkin / Cucumber;AWS RDS;Git,,,11/15/22,REEMPLAZO,APLICADO_SELECCIONADO,R  JUAN FELIPE VELASCO GARCIA
IN1856,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;ORACLE;DevOps;AWS RDS;Git;Análisis Estático (SonarQube);JAVA;Iseries;Colas MQ;Broker;Oracle;AWS;Elixir;Programación Reactiva (básico);DevOps;Metodologia Agil;Jmeter;IntelliJ;MQ,,,11/16/22,NUEVA,NO_APLICADO,
IN1852,,DESARROLLOS BACK-END SEMI-SENIOR Iseries,,RPG/ILE;COBOL;DB2;SQL SERVER,,,11/16/22,NUEVA,NO_APLICADO,
IN1809,,INGENIERIA NUBE SEMI-SENIOR,,YAML;Json;AWS DynamoDB;SQL SERVER;AMAZON EC2;ARQUITECTURA DE REFERENCIA AWS;Servicios core AWS;SERVICIOS CORE AZURE;Git;conocimientos en Azure y AWS ,,,11/16/22,REEMPLAZO,NO_APLICADO,R  FABRICIO MORENO ZAMBRANO
IN1890,,DESARROLLOS BACK_END -SENIOR Elixir,,Java SE;Elixir;POSTGRESQL;REDIS;Spring Boot;Spring Cloud;Artifactory;Apache Camel;BDD (Gherkin/Serenity);Kubernetes;WMQ;Git se requieren conocimeintos en Conocimiento en Elixir;Programación Reactiva;Arq ,,,11/17/22,NUEVA,CANCELADO,
IN1886,,DESARROLLOS BACK-END SENIOR,,Java SE;POSTGRESQL;REDIS;Artifactory;Pruebas Unitarias;Pruebas de Performance;Kubernetes;DOCKER;Git;Gradle//Java;arquitectura limpia ;programación reactiva;Devops Conocimientos en Cloud AWS;Kubernets;Cloud ,,,11/17/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1888,,DESARROLLOS BACK-END SEMI-SENIOR -Iseries,,Java SE;RPG/ILE;DB2;SQL SERVER// se requieren alto conocimiento en RPG;SQL y DB2,,,11/17/22,NUEVA,NO_APLICADO,
IN1900,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Java SE;JavaScript;POSTGRESQL;SQL SERVER;Spring Boot;Angular;Artifactory;Jmeter;Azure Active Directory;Kubernetes;Nodejs;Git;Selenium,,,11/21/22,NUEVA,APLICADO_DESISTIDO,
IN1899,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;AWS DynamoDB;POSTGRESQL;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;BDD (Gherkin/Serenity);DOCKER;Kubernetes;Gradle;RabbitMQ,,,11/21/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1887,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,COBOL;RPG/ILE;DB2,,,11/21/22,REEMPLAZO,NO_APLICADO,R  CESAR AUGUSTO VARGAS MORALES
IN1885,,AUTOMATIZACIÓN DE PRUEBAS JUNIOR,, Java SE;POSTGRESQL;AWS DynamoDB;SERENITY;Patrón de diseño ScreenPlay;DevOps;AWS RDS,,,11/21/22,NUEVA,NO_APLICADO,
IN1894,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;AWS DynamoDB;POSTGRESQL,,,11/21/22,REEMPLAZO,APLICADO_SELECCIONADO,R Cristian Cortes
IN1809,,INGENIERIA NUBE SEMI-SENIOR,,YAML;Json;AWS DynamoDB;SQL SERVER;AMAZON EC2;ARQUITECTURA DE REFERENCIA AWS;Servicios core AWS;SERVICIOS CORE AZURE;Git,,,11/23/22,REEMPLAZO,CANCELADO,
IN1906,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;AWS DynamoDB;Patrón de diseño ScreenPlay,,,11/23/22,REEMPLAZO,APLICADO_SELECCIONADO,R Jhon Agudelo   Proactivo
IN1868,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,, Java SE;Elixir;POSTGRESQL;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes,,,11/24/22,NUEVA,NO_APLICADO,
IN1912,,DESARROLLOS BACK-END SENIOR,,Java SE;AWS DynamoDB;Spring Boot;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes;Git,,,11/25/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1863,,DESARROLLOS BACK-END SENIOR,,Java SE;AWS DynamoDB;REDIS;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;Pruebas de Performance;Kubernetes;DOCKER;Git;RabbitMQ,,,11/25/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1872,,AUTOMATIZADOR DE PRUEBAS -SENIOR,,Java SE;POSTGRESQL; SERENITY;Gherkin / Cucumber;DevOps;Selenium;Análisis Estático (SonarQube),,,11/28/22,NUEVA,APLICADO_SELECCIONADO,
IN1878,,DESARROLLOS BACK-END SEMI-SENIOR,,C# (NET Framework);SQL SERVER;POSTGRESQL;ASP MVC;Artifactory;Azure Active Directory;BDD (Gherkin/Serenity);IIS;Git;Análisis Estático (SonarQube,,,11/29/22,NUEVA,APLICADO_DESISTIDO,
IN1899,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;AWS DynamoDB;POSTGRESQL;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;BDD (Gherkin/Serenity);DOCKER;Kubernetes;Gradle;RabbitMQ,,,11/29/22,NUEVA,APLICADO_SELECCIONADO,Proactivo
IN1930,,DESARROLLOS BACK-END SEMI SENIOR iseries,,HABILIDADES TÉCNICAS: RPG/ILE;COBOL;SQL SERVER;ORACLE,,,12/2/22,REEMPLAZO,NO_APLICADO,R OSCAR ALEXANDER CARMONA VARGAS
IN1928,,DESARROLLOS BACK-END SENIOR,,Java SE;MYSQL;POSTGRESQL;Spring Cloud;Artifactory;Pruebas Unitarias;Pruebas de Performance;DOCKER;Kubernetes;Postman ,,,12/2/22,REEMPLAZO,APLICADO_PRESELECCIONADO,R ERIKA DAYANA SANCHEZ SEPULVEDA
IN1938,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE; SERENITY;DevOps;Patrón de diseño ScreenPlay;Selenium,,,12/2/22,NUEVA,NO_APLICADO,Candidatos no presentaron reto técnico
IN1931,,DESARROLLOS BACK-END SEMI SENIOR iseries,,RPG/ILE;COBOL;DB2,,,12/2/22,REEMPLAZO,NO_APLICADO,R CHRISTIAN MANUEL BUSTAMANTE PARRA
IN1932,,DESARROLLOS FRONT-END SEMI SENIOR,,,,,12/5/22,NUEVA,APLICADO_SELECCIONADO,TA
IN1941,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE; SERENITY;DevOps;Patrón de diseño ScreenPlay;Selenium,,,12/6/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Juan Pablo Angel
IN1909,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;POSTGRESQL;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes;Gradle;Git,,,12/6/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1950,,DESARROLLOS BACK-END SENIOR ,, Java SE;PostgreSQL;REDIS;Spring Cloud;Spring Boot;Artifactory;Pruebas de Performance;Pruebas Unitarias;DOCKER;Kubernetes;Git;Postman,,,12/7/22,NUEVA,CANCELADO,
IN1949,,DESARROLLOS FRONT-END SEMI-SENIOR,,REACT;JavaScript;Redux;Angular;DOM y Browser Engine;Nodejs;Google Analitics;Jscrambler,,,12/12/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1956,,DESARROLLOS BACK-END JUNIOR iSeries,,COBOL;RPG/ILE;DB2;SQL Server,,,12/12/22,REEMPLAZO,APLICADO_SELECCIONADO,R Beronica Valero
IN1948,,DESARROLLOS BACK-END SENIOR Iseries,,RPG/ILE;CL;DB2;WMQ;Git,,,12/12/22,NUEVA,NO_APLICADO,
IN1947,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;POSTGRESQL;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes;Gradle;Git,,,12/12/22,NUEVA,APLICADO_SELECCIONADO,
IN1916,,DESARROLLOS FULL-STACK SEMI-SENIOR,,TYPESCRIPT;JavaScript;PostgreSQL;MYSQL;Angular;Express;DOCKER;Nodejs;Git;GraphQL,,,12/12/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1900,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Java SE;JavaScript;POSTGRESQL;SQL SERVER;Spring Boot;Angular;Artifactory;Jmeter;Azure Active Directory;Kubernetes;Nodejs;Git;Selenium,,,12/13/22,NUEVA,APLICADO_SELECCIONADO,
IN1931,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;COBOL;DB2,,,12/14/22,REEMPLAZO,APLICADO_NO_SELECCIONADO,CHRISTIAN MANUEL BUSTAMANTE 
IN1930,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;COBOL;SQL Server;ORACLE,,,12/15/22,REEMPLAZO,APLICADO_PRESELECCIONADO,R OSCAR ALEXANDER CARMONA VARGAS
IN1959,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;ORACLE;SQL Server;Spring Boot;Artifactory;SOLID;Pruebas Unitarias;DOCKER;Kubernetes;Análisis Estático (SonarQube);Postman ,,,12/15/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1976,,DESARROLLOS BACK-END SENIOR,,Java SE;PostgreSQL;Spring Boot;Pruebas Unitarias;Pruebas de Performance;DOCKER;Kubernetes;Gradle,,,12/16/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1939,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,COBOL;RPG/ILE;DB2,,,12/16/22,NUEVA,NO_APLICADO,
IN1982,,DESARROLLOS BACK-END SENIOR ,, Java SE;PostgreSQL;REDIS;Spring Cloud;Spring Boot;Artifactory;Pruebas de Performance;Pruebas Unitarias;DOCKER;Kubernetes;Git;Postman;Gradle,,,12/20/22,NUEVA,APLICADO_SELECCIONADO,
IN1991,,DESARROLLOS BACK-END SENIOR Iseries,,RPG/ILE;DB2;Devops y herramientas de desarrollo como RDI y RTC ,,,12/21/22,REEMPLAZO,NO_APLICADO,R  Xiomara del Valle
IN1986,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;ORACLE;DevOps;AWS RDS;Git,,,12/22/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1998,,INGENIERIA NUBE SEMI-SENIOR,,SQL;JSON;ARQUITECTURA DE REFERENCIA AWS;AWS Architecture,,,12/26/22,NUEVA,CANCELADO,
IN1878,,DESARROLLOS BACK-END SEMI-SENIOR,,C# (NET Framework);SQL Server;PostgreSQL;ASP MVC;Artifactory;Azure Active Directory;BDD (Gherkin / Serenity);IIS;Git;Análisis Estático (SonarQube);desarrollos para windows,,,12/26/22,NUEVA,APLICADO_PRESELECCIONADO,
IN2001,,DESARROLLOS BACK-END SENIOR,,Python;MYSQL;ORACLE,,,12/27/22,NUEVA,NO_APLICADO,No se logra postular por acceso a valko
IN2007,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Python;JavaScript;PostgreSQL;Spring Boot;Artifactory;OAuth 20;Kubernetes;Nodejs;Git;GraphQL,,,12/28/22,NUEVA,APLICADO_SELECCIONADO,
IN2006,,DESARROLLOS BACK-END SENIOR,,Java SE;Python;PostgreSQL;ORACLE;Spring Boot;Flask;Artifactory;Event-driven Architecture (EDA);Pruebas Unitarias;Kubernetes;Postman;AWS;Integraciones (API;Servicios;Microservicios;Bus de Integraciones);Devops;Linux ;arquitecturas limpias y solid ,,,12/28/22,NUEVA,APLICADO_SELECCIONADO,
IN2012,,DESARROLLOS FULL-STACK SEMI-SENIOR,,JavaScript;Java SE;AWS DynamoDB;Angular;Spring Boot;AMAZON EC2;DOCKER;Kubernetes;UrbanCode;AWS y Devops,,,12/28/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Harby Torres
IN1983,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;CL;DB2;AWS DynamoDB;Spring Boot;Artifactory;OpenAPI;DOCKER;Git;Postman ,,,12/29/22,NUEVA,NO_APLICADO,
IN2003,,DESARROLLOS BACK-END SENIOR,,Python;SQL Server;ORACLE;ETL,,,12/29/22,NUEVA,NO_APLICADO,
IN2016,,ANÁLISIS DE PERFORMANCE SEMI-SENIOR,,Java SE;Python;Jmeter;DevOps;ISERIES;Postman ,,,1/2/23,NUEVA,CANCELADO,
IN2019,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,SQL;Python,,,1/2/23,NUEVA,APLICADO_SELECCIONADO,
IN1991,,DESARROLLOS BACK-END SENIOR Iseries,,RPG/ILE;DB2,,,1/2/23,REEMPLAZO,APLICADO_SELECCIONADO,R  Xiomara del Valle
IN2013,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;ORACLE;Git,,,1/2/23,REEMPLAZO,APLICADO_SELECCIONADO,R  Sebastian Bedoya
IN2020,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,COBOL;RPG/ILE;DB2,,,1/2/23,NUEVA,NO_APLICADO,
IN2024,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;PostgreSQL;MongoDB;Data Driven Framework; SERENITY;Patrón de diseño ScreenPlay;Gherkin / Cucumber;AWS RDS;Git;Cucumber;ScreenPlay JAVA;Devops ,,,1/4/23,NUEVA,APLICADO_SELECCIONADO,
IN2017,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;PostgreSQL;SERENITY;BDD Framework;Micro Focus Extra! X-treme (MyExtra);AWS RDS;Postman,,,1/4/23,NUEVA,NO_APLICADO,
IN2030,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;DB2; SERENITY;Micro Focus Extra! X-treme (MyExtra);Patrón de diseño ScreenPlay;Selenium,,,1/5/23,NUEVA,NO_APLICADO,
IN2025,,DESARROLLOS FULL-STACK SENIOR,,Java SE;Elixir;PostgreSQL;MongoDB;Angular;Spring Boot;AMAZON EC2;DDD;BDD (Gherkin / Serenity);DOCKER;Kubernetes;RabbitMQ;Selenium,,,1/5/23,NUEVA,APLICADO_PRESELECCIONADO,
IN2032,,DESARROLLOS MOBILE SEMI-SENIOR,,Kotlin;SWIFT;Git,,,1/5/23,NUEVA,NO_APLICADO,
IN2028,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;DB2;Git,,,1/5/23,NUEVA,NO_APLICADO,
IN2031,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;PostgreSQL;Spring Boot;Artifactory;Pruebas Unitarias;Kubernetes;Git,,,1/6/23,NUEVA,APLICADO_SELECCIONADO,
IN2051,,DESARROLLOS BACK-END SENIOR,,Java SE;Elixir;PostgreSQL;REDIS;Spring Boot;Spring Cloud;Artifactory;Apache Camel;Event-driven Architecture (EDA);Kubernetes;WMQ;Git;Análisis Estático (SonarQube),,,1/10/23,NUEVA,APLICADO_PRESELECCIONADO,
IN2043,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;DB2,,,1/10/23,NUEVA,NO_APLICADO,
IN2041,,DESARROLLOS FULL-STACK SENIOR,,Java SE;Elixir;PostgreSQL;MongoDB;Angular;Spring Boot;AMAZON EC2;BDD (Gherkin / Serenity);DDD;Kubernetes;DOCKER;RabbitMQ;Gradle,,,1/10/23,NUEVA,APLICADO_PRESELECCIONADO,
IN2039,,DESARROLLOS FULL-STACK SENIOR,,SE;Elixir;PostgreSQL;MongoDB;Angular;Spring Boot;AMAZON EC2;DDD;SOLID;DOCKER;Kubernetes;RabbitMQ;Gradle,,,1/10/23,NUEVA,APLICADO_SELECCIONADO,
IN2038,,DESARROLLOS FULL-STACK SENIOR,,Elixir;Java SE;PostgreSQL;MongoDB;Angular;Spring Boot;AMAZON EC2;DDD;BDD (Gherkin / Serenity);Kubernetes;DOCKER;RabbitMQ;Selenium,,,1/10/23,NUEVA,NO_APLICADO,
IN2040,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;MongoDB;PostgreSQL;Data Driven Framework; SERENITY;DevOps;Gherkin / Cucumber;AWS RDS;Git,,,1/11/23,NUEVA,APLICADO_PRESELECCIONADO,
2045,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;DB2;PostgreSQL,,,1/11/23,NUEVA,NO_APLICADO,
IN2053,,ANÁLISIS DE PERFORMANCE SEMI-SENIOR,,Java SE;JavaScript;Jmeter;ISERIES;Postman ,,,1/11/23,NUEVA,CANCELADO,
IN2029,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;PostgreSQL;AWS DynamoDB;Spring Boot;Spring Cloud;Pruebas Unitarias;Kubernetes;DOCKER;Git;Gradle,,,1/11/23,NUEVA,APLICADO_PRESELECCIONADO,
IN2057,,AUTOMATIZACIÓN DE PRUEBAS JUNIOR,,Java SE;DB2; SERENITY;Gherkin / Cucumber;Patrón de diseño ScreenPlay;Selenium,,,1/12/23,REEMPLAZO,APLICADO_SELECCIONADO,R   Andrea Katerine
IN2047,,DESARROLLOS BACK-END JUNIOR iSeries,,RPG/ILE;CL;DB2;SQL Server;Spring Boot;Artifactory;Pruebas Unitarias;DOCKER;Análisis Estático (SonarQube);UrbanCode,,,1/13/23,NUEVA,APLICADO_SELECCIONADO,
IN2058,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;SQL;DB2;SQL Server; SERENITY;Karate Framework;Micro Focus Extra! X-treme (MyExtra);BDD (Gherkin / Serenity);Patrón de diseño ScreenPlay;Kobiton;Git,,,1/16/23,NUEVA,APLICADO_NO_SELECCIONADO,
2062,,DESARROLLOS FULL-STACK SEMI-SENIOR,,HABILIDADES TÉCNICAS:Java SE;TYPESCRIPT;PostgreSQL;Spring Boot;Angular;Artifactory;Jmeter;Kubernetes;DOCKER;Git;NPM,,,1/17/23,NUEVA,APLICADO_NO_SELECCIONADO,
2064,,DESARROLLOS BACK-END SEMI-SENIOR,,RPG/ILE;COBOL;DB2,,,1/20/23,NUEVA,NO_APLICADO,
2070,,DESARROLLOS BACK-END SENIOR,,Java SE;MYSQL;PostgreSQL;Spring Boot;Artifactory;Pruebas de Performance;Pruebas Unitarias;Git,,,1/20/23,NUEVA,APLICADO_SELECCIONADO,
2071,,DESARROLLOS FRONT-END SENIOR,,JavaScript;Fundamentos HTML;Angular;DDD,,,1/20/23,NUEVA,APLICADO_PRESELECCIONADO,
2072,,DESARROLLOS FULL-STACK SENIOR,,Java SE;JavaScript;MYSQL;PostgreSQL;Angular;Spring Boot;AMAZON EC2;Artifactory;Jmeter;SOLID;DOCKER;Nodejs;Git;JUNIT,,,1/20/23,NUEVA,APLICADO_PRESELECCIONADO,
2073,,AUTOMATIZACIÓN DE PRUEBAS JUNIOR,,Java SE;PostgreSQL; SERENITY;Micro Focus Extra! X-treme (MyExtra);Git;Análisis Estático (SonarQube),,,1/23/23,REEMPLAZO,APLICADO_SELECCIONADO,R  JUAN DAVID OSPINA RODRIGUEZ
2074,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Java SE;TYPESCRIPT;PostgreSQL;AWS DynamoDB;Spring Boot;Angular;Artifactory;AMAZON EC2;SOLID;DDD;DOCKER;Kubernetes;Gradle;NPM,,,1/20/23,NUEVA,APLICADO_PRESELECCIONADO,
2083,,DESARROLLOS BACK-END SEMI-SENIOR,,RPG/ILE;DB2,,,1/25/23,REEMPLAZO,APLICADO_DESISTIDO,R  JOHN EDUARDO RUA ALVAREZ  
2076,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;AWS DynamoDB;ASP MVC;Artifactory;Pruebas Unitarias;Kubernetes;Git,,,1/25/23,NUEVA,APLICADO_PRESELECCIONADO,
2086,,DESARROLLOS BACK-END SENIOR,,Elixir;Java SE;MongoDB;REDIS;Spring Boot;Spring Cloud;Artifactory;Apache Camel;BDD (Gherkin / Serenity);Kubernetes;DOCKER;GraphQL;Gradle;Azure DevOps;Git;Apache Camel;Openshift,,,1/26/22,NUEVA,CANCELADO,
2080,,DESARROLLOS FRONT-END SEMI-SENIOR,,Fundamentos HTML;Fundamentos CSS;Angular;DOM y Browser Engine;NPM;html;js;css ;boostrap;jquert;javascript y deseable conocimientos en Django python;,,,1/27/23,NUEVA,APLICADO_PRESELECCIONADO,
2089,,DESARROLLOS BACK-END SENIOR,,CL;RPG/ILE;DB2,,,1/27/23,NUEVA,APLICADO_PRESELECCIONADO,
2091,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;SQL;PostgreSQL;MYSQL; SERENITY;AWS RDS;Selenium,,,1/27/23,REEMPLAZO,APLICADO_SELECCIONADO,R  MARIA ALEJANDRA GIRALDO RAMIREZ
2092,,DESARROLLOS FULL-STACK SENIOR,,Java SE;Angular;Kubernetes;devops;docker;Spring Boot;Gradle;BDD (Gherkin / Serenity) ;DDD ,,,1/27/23,NUEVA,APLICADO_SELECCIONADO,
2087,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,PostgreSQL;SERENITY;Patrón de diseño ScreenPlay;Git,,,1/27/23,NUEVA,APLICADO_SELECCIONADO,
2052,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;PostgreSQL;Spring Boot;Artifactory;Pruebas Unitarias;DOCKER;Git Se requiere conocimientos en: Kubernetes;Docker y Devops *ELIXIR*,,,1/30/23,NUEVA,APLICADO_PRESELECCIONADO,
2060,,DESARROLLOS BACK-END SEMI-SENIOR AS400,,Java SE;RPG/ILE;AWS DynamoDB;Spring Boot;Artifactory;Pruebas Unitarias;SOLID;Kubernetes;DOCKER;Postman ;Análisis Estático (SonarQube),,,1/31/23,NUEVA,NO_APLICADO,
2115,,DESARROLLOS FRONT-END SENIOR,,Fundamentos CSS;JavaScript;Angular;Redux;DDD;Google Analitics,,,2/6/23,NUEVA,APLICADO_SELECCIONADO,
2130,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Java SE;JavaScript;REDIS;PostgreSQL;Angular;Spring Cloud;AMAZON EC2;SOLID;Event-driven Architecture (EDA);DOCKER;Kubernetes;Git;Gradle,,,2/6/23,NUEVA,APLICADO_PRESELECCIONADO,
2122,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,Elixir;Java SE;PostgreSQL;REDIS;Spring Boot;Spring Web;Artifactory;Event-driven Architecture (EDA);Kubernetes;DOCKER;Git;Gradle,,,2/6/23,NUEVA,APLICADO_SELECCIONADO,
2129,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,Java SE;Elixir;REDIS;PostgreSQL;Spring Cloud;Spring Boot;Artifactory;SOLID;Pruebas Unitarias;DOCKER;Kubernetes;Git;Gradle,,,2/6/23,NUEVA,APLICADO_PRESELECCIONADO,
2128,,DESARROLLOS FRONT-END SEMI-SENIOR,,TYPESCRIPT;JavaScript;Angular;DDD;NPM,,,2/6/23,NUEVA,APLICADO_PRESELECCIONADO,
2134,,DESARROLLOS BACK-END SEMI-SENIOR AS400,,RPG/ILE;CL;DB2;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;SWIFT;Pruebas Unitarias;OpenAPI;DOCKER;WMQ;Git;Postman ,,,2/7/23,NUEVA,NO_APLICADO,
2135,,DESARROLLOS BACK-END SENIOR AS400,,RPG/ILE;CL;AWS DynamoDB;DB2;Spring Boot;Spring Cloud;Artifactory;SWIFT;OpenAPI;Pruebas Unitarias;WMQ;DOCKER;Postman ;Git,,,2/7/23,NUEVA,NO_APLICADO,
2116,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;PostgreSQL;REDIS;Spring Boot;Spring Cloud;Artifactory;Pruebas de Performance;Pruebas Unitarias;DOCKER;Kubernetes;Git;Postman ,,,2/8/23,NUEVA,APLICADO_NO_SELECCIONADO,
2119,,DESARROLLOS FULL-STACK - Semi Senior,,Java SE;JavaScript;MYSQL;REDIS;Angular;AMAZON EC2;Jmeter;OAuth 20;Kubernetes;Git;Gradle,,,2/10/23,NUEVA,APLICADO_DESISTIDO,
2147,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;AWS DynamoDB;PostgreSQL;Spring Boot;Spring Cloud;Artifactory;Apache Camel;Pruebas Unitarias;DOCKER;Kubernetes;Gradle;Git,,,2/21/23,NUEVA,APLICADO_SELECCIONADO,
2153,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,JAVA SE;PostgreSQL;SERENITY;BDD (Gherkin / Serenity);AWS RDS;Git;Selenium,,,2/16/23,NUEVA,APLICADO_PRESELECCIONADO,
2145,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;PostgreSQL;Spring Boot;Artifactory;Apache Camel;Kubernetes;Gitse requieren conocimientos en: AWS,,,2/16/23,NUEVA,APLICADO_SELECCIONADO,
